model,effort,task,run_id,judged,combined_33,functional_pct,code_quality,reviewed_score,intent_recovery,muse_reviewed,grok_reviewed,solver_fallback,opus48_replies,all_replies,duration_s,raw_tokens,estimated_usd,solver_cli_version
opus55,high,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-0cf7521c,published,91.1434,100.00,77.3810,72.9167,89.2857,70.8333,75.0000,False,0,39,450.21,813833,1.128287,2.1.280 (Claude Code)
opus55,high,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-1d008f61,published,93.1017,100.00,83.0087,83.3333,82.1429,87.5000,79.1667,False,0,32,256.833,579183,0.799825,2.1.280 (Claude Code)
opus55,extra-high,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-36903067,published,90.7631,100.00,76.2311,80.2083,65.6250,81.2500,79.1667,True,115,139,2142.059,5372125,6.632219,2.1.280 (Claude Code)
opus55,extra-high,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-f18a119d,published,92.1346,100.00,82.2261,79.1667,90.3846,81.2500,77.0833,True,26,93,1121.283,4147519,5.208757,2.1.280 (Claude Code)
opus55,extra-high,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-b6f13464,published,91.2315,100.00,78.2197,77.0833,81.2500,79.1667,75.0000,False,0,50,491.45,1044374,1.558215,2.1.280 (Claude Code)
opus55,extra-high,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-687e6485,published,87.9545,100.00,69.4639,76.0417,51.9231,75.0000,77.0833,False,0,197,1749.894,7754214,5.426542,2.1.280 (Claude Code)
opus55,extra-high,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-ffe5b018,published,92.9938,100.00,83.3333,79.1667,94.4444,77.0833,81.2500,False,0,53,581.104,1046052,1.454023,2.1.280 (Claude Code)
opus55,extra-high,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-a2be9ade,published,88.7104,100.00,74.5338,72.9167,78.8462,75.0000,70.8333,False,0,157,1240.65,7880441,5.102696,2.1.280 (Claude Code)
opus55,extra-high,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-c607ff70,published,92.9238,100.00,82.6705,84.3750,78.1250,83.3333,85.4167,True,58,116,1499.579,4002325,5.493843,2.1.280 (Claude Code)
opus55,extra-high,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-bdb30b52,published,92.9048,100.00,84.8485,79.1667,100.0000,81.2500,77.0833,False,0,133,998.299,5658505,4.046274,2.1.280 (Claude Code)
opus55,extra-high,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-16dc1ac3,published,92.1027,100.00,81.0606,81.2500,80.5556,83.3333,79.1667,False,0,70,742.203,1631621,1.824207,2.1.280 (Claude Code)
