model,effort,task,run_id,total_score_pct,functional_pct,automated_quality_pct,security_pct,code_quality_pct,astra_reviewer_pct,claude_reviewer_pct,solver_fallback,duration_s,raw_tokens,estimated_api_usd,astra_long_context_upper_usd,started_at,finished_at,solver_cli_version,solver_stream_sha256,patch_sha256
astra,max,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-38d199a8,92.00500000000001,100.0,83.14,80.0,87.67,93.67,81.67,False,440.078,607820,1.7421440000000001,3.157363,2026-09-05T10:13:37.088216+00:00,2026-09-05T10:20:57.172317+00:00,codex-cli 0.153.4,e26cc789a0c42ff08ea1adaf325b801d3a2344bf347d34e42784bf681d431332,c5a0ecc1911fa85b5ab0dea59bf9609d30604e26c28d1c52dae349129cf87c84
astra,max,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-ac7628bb,93.0465,100.0,82.09,90.0,86.165,92.0,80.33,False,579.129,527754,1.8594439999999999,3.271838,2026-09-05T10:03:57.805795+00:00,2026-09-05T10:13:36.939228+00:00,codex-cli 0.153.4,1a6387623256134dbce41aec6f396c8e2ff17525476671d6ee8e325d7b83a7d5,70df6c7bf9424af361fd4c4e8d24b87da7aac38cc2686d527118da704a3c0cd4
astra,max,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-eee93041,90.515,100.0,79.32000000000001,75.0,86.835,93.0,80.67,False,582.829,592728,2.163976,3.8885769999999997,2026-09-05T08:10:55.145878+00:00,2026-09-05T08:20:37.979241+00:00,codex-cli 0.153.4,3ec8a48333be832d51b1897d0d804169052dd3a737b29a207e7fea28dee33e75,ee54884d7f0df526eab39492c2e2a990fa2dd01187470a949d0cc939286110ee
astra,max,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-1d0753ed,93.361,100.0,81.52000000000001,90.0,88.165,94.33,82.0,False,607.775,889329,2.513586,4.570647,2026-09-05T09:27:19.626970+00:00,2026-09-05T09:37:27.407090+00:00,codex-cli 0.153.4,4d34d73a1c7a1289f54edd9911f733380576e7eadaa39ea3216d6912529dad2c,5a478142b439b02ebc199f41418e9c6263358d4b4791fdbce8f128dc4929f22d
astra,max,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-dbbef60e,93.321,100.0,83.7,90.0,86.33,92.33,80.33,False,506.587,673836,1.975584,3.5669429999999998,2026-09-05T10:49:31.596174+00:00,2026-09-05T10:57:58.187820+00:00,codex-cli 0.153.4,a8a63227124029f3533069a712ac36a558779389ba9b3717f96c88a096b575ee,84578f79af61772ec6c5a1092631b8eff578871ab2af3fb923dbc9210f9d6efe
astra,max,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-951a0928,93.0445,100.0,81.63,90.0,86.5,92.67,80.33,False,509.837,831768,2.144864,3.919178,2026-09-05T10:20:57.323823+00:00,2026-09-05T10:29:27.165300+00:00,codex-cli 0.153.4,f49a6c7fc3274fd88ef921ce0ab5bcb1cea19ba2381ff164eea87c16034792d7,998b5f75b0d2cd9a30f4757d89cc53fcedebc0c8d2131488921c1b23f682c7d3
astra,max,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-03b520c5,91.54299999999999,100.0,81.84,80.0,86.33500000000001,93.0,79.67,False,443.301,498990,1.591028,2.854031,2026-09-05T09:37:27.553718+00:00,2026-09-05T09:44:50.859420+00:00,codex-cli 0.153.4,ab4850338379bf7dbafd2d6599ee0704b51b255ef6d747669219058428869ef7,1728defb825bdd0c6f083b98dca356c604adf576f7ac5b4057215d25ca5d3cd9
fable,low,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-8c394a8f,94.439,100.0,82.69999999999999,100.0,85.16999999999999,90.67,79.67,False,425.5,585690,2.1261810000000003,,2026-09-03T07:02:37.537342+00:00,2026-09-03T07:09:43.040397+00:00,2.1.259 (Claude Code),17059c60f93e7cc60ed2709565ee6bc947577b4f9cc4958ee2fed7d7d540ce46,cac5981ca2b988568b74cfdea35ef72df21f89d2bdc2d139fcbf63bce7df4e1a
fable,low,legacy-cellarcore-binary-parity,legacy-cellarcore-binary-parity-e7e656c2,93.734,100.0,77.34,100.0,85.66499999999999,89.33,82.0,False,4535.52,10454935,17.514192,,2026-09-03T11:53:58.994344+00:00,2026-09-03T13:09:34.525638+00:00,2.1.259 (Claude Code),f7b58905b4f522e0492990e25a953c7a0b871dcab02d6ea7b7eb615c5af00ffc,5fa33f440debdf9e5384bd2439171af1a67f0fbfb52bd7b84394c7251f612d45
fable,low,legacy-codeccore-binary-parity,legacy-codeccore-binary-parity-363f3155,75.249,70.0,83.22,100.0,63.83000000000001,69.33,58.330000000000005,False,804.206,1479260,3.998179,,2026-09-03T04:47:31.921665+00:00,2026-09-03T05:00:56.132606+00:00,2.1.259 (Claude Code),7895bdb242b2b7df55c33559552879cf7d592573ecf9a77cb58e66c2e6baa9b4,bed7263a193b5079fecc88ebfa57fc69bc380a258afc36e46db0b7315e5479c0
fable,low,legacy-depotcore-binary-parity,legacy-depotcore-binary-parity-3a749234,92.49149999999999,100.0,76.83,100.0,79.835,83.67,76.0,False,7965.282,36967983,45.84916425,,2026-09-03T09:06:23.473276+00:00,2026-09-03T11:19:08.779935+00:00,2.1.259 (Claude Code),a7d2add4c59a539b926b3ffcf768a10d48fa1a2dde5450af85159a1d2c7c93e0,256d444cddb2ada4e7be41c9db8f5e5b338cce7bc0ef0133524071f7eae61df2
fable,low,legacy-freightcore-binary-parity,legacy-freightcore-binary-parity-7fb92ccb,93.9525,100.0,84.35000000000001,100.0,81.5,89.33,73.67,False,911.381,1714769,5.88218325,,2026-09-03T04:32:20.406889+00:00,2026-09-03T04:47:31.793958+00:00,2.1.259 (Claude Code),216fa4a1bdac6bbf68b621c9f5c088a8233d369c37ff4b8639ef874e40f43e79,1d2319d232cf22ca20471978b7a8fe5de4fb445605ed606338f1998b5bdcd042
fable,low,legacy-granarycore-binary-parity,legacy-granarycore-binary-parity-e59660a8,78.549,85.71,78.96,85.0,55.49999999999999,65.33,45.67,True,6743.688,19875699,31.892919,,2026-09-03T07:13:59.634136+00:00,2026-09-03T09:06:23.336632+00:00,2.1.259 (Claude Code),7712d0606b7cad2a9107eee74733862aa1d171b48d8fba6b33c5b0d807b73669,33a31bf63ba7562023e057b8aa8ddd094794c7da43634615417afdb4cef2a4fa
fable,low,legacy-hedgecore-binary-parity,legacy-hedgecore-binary-parity-f04d863b,95.122,100.0,83.91999999999999,100.0,87.67,91.67,83.67,False,1053.964,1653781,5.644126,,2026-09-03T05:58:55.191562+00:00,2026-09-03T06:16:29.161644+00:00,2.1.259 (Claude Code),ddc563088349373e80fd1d3b1616d5a20135f957f09fc6834ac4c72aef49f1aa,28324682e80b9322097582817042fcd402a6599dbde7da7328576191932f0a0d
fable,low,legacy-lodgecore-binary-parity,legacy-lodgecore-binary-parity-93fa5259,92.5965,100.0,75.31,100.0,81.5,88.33,74.67,False,2089.923,4058103,10.844601749999999,,2026-09-03T11:19:08.925122+00:00,2026-09-03T11:53:58.854470+00:00,2.1.259 (Claude Code),3fac3e68d8089e25ab0d3efb686c0f05c08040b46086f4ca50b0240f334bc849,79d121100e836905b41fbbee9b0cfacc6e1b7c9beff8f502759a748bc781baaf
fable,low,legacy-matchcore-order-book-parity,legacy-matchcore-order-book-parity-de1307fe,93.93599999999999,100.0,87.02,95.0,83.165,85.33,81.0,False,910.015,1842805,4.39778675,,2026-09-03T02:57:08.474853+00:00,2026-09-03T03:12:18.497048+00:00,2.1.259 (Claude Code),67dc5c013eebf2087f5f58d7e61c4ab6f6918347c08071e60685154e3e799e74,26f7e056e594f4e31c911f51e0e6dbc9d4d1ef2abebba3b10f6ab747ca4742a6
fable,low,legacy-metercore-binary-parity,legacy-metercore-binary-parity-49000e6d,94.917,100.0,84.78,100.0,86.0,90.67,81.33,False,693.431,1121527,2.71887475,,2026-09-03T03:35:26.595413+00:00,2026-09-03T03:47:00.030007+00:00,2.1.259 (Claude Code),08bed4ba099ed101c7dbfe1bec2a71aa0b0f3839256b529805838e28e4c2dffa,625037a2372dbac29dc301440310c917cf54621faa911d4ef2e018d9ea2afcdd
fable,low,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-53989899,94.685,100.0,83.67999999999999,100.0,85.665,90.33,81.0,False,413.327,633708,2.1910705000000004,,2026-09-03T06:55:44.078697+00:00,2026-09-03T07:02:37.408955+00:00,2.1.259 (Claude Code),b95206d0ca028390633126c6c7f25ce1cc1bac12c28037fec53912f30d14b684,b372cfd53e8c707b8ae6286d5396d59f88949c1b3351fcd2a6229d4d00214ec6
fable,low,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-2e141d56,92.312,100.0,74.52,100.0,80.67,84.67,76.67,False,2274.113,7916410,11.9687315,,2026-09-03T15:53:12.871163+00:00,2026-09-03T16:31:06.992076+00:00,2.1.259 (Claude Code),720b1df34f8d558eea3bcec6c19a0a755d14939a65e662bc18b4e8c731506985,04c7ea7aa2f8a760bddafb78a81941c427a40546783cc14b1e33ca4ab9bd7439
fable,low,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-d14523a1,94.71350000000001,100.0,81.65,100.0,87.33,91.33,83.33,False,771.339,2136938,4.563269,,2026-09-03T03:22:35.116363+00:00,2026-09-03T03:35:26.461350+00:00,2.1.259 (Claude Code),c42f7314bf80527790b31eda4df91de57eff35ec7f95b59eeecb30199f341076,2c5485b20070084bfb28b08f746b524eaaefd758fa7f17107b020cef259e8b3e
fable,low,legacy-qlite-store-parity,legacy-qlite-store-parity-2467024c,88.94,100.0,84.38,65.0,82.665,83.33,82.0,False,616.34,747796,2.7302897500000003,,2026-09-03T03:12:18.643722+00:00,2026-09-03T03:22:34.987829+00:00,2.1.259 (Claude Code),eafaa04c057304ef630ebd40519db9ecdde399713072ef5823be4562fbebce1e,976c432244a0e47520c7094eeb530351546321252e2a6be7b495957a83ba1f63
fable,low,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-7c722765,77.752,75.0,81.89999999999999,100.0,64.835,72.0,57.67,False,1218.772,1349955,4.97031325,,2026-09-03T05:38:36.288947+00:00,2026-09-03T05:58:55.065774+00:00,2.1.259 (Claude Code),52e983e1ad74d2062c9b6b6b652aba2b18a75dd2d2f9d277e2ecff22e272f955,fed326d3a18b2ce73f640d76e56e07f14cfad03b3b09a027510cd51f58b9786f
fable,low,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-fabaf15d,91.202,100.0,88.46000000000001,70.0,87.165,90.33,84.0,False,919.246,777383,2.85549625,,2026-09-03T05:00:56.260454+00:00,2026-09-03T05:16:15.510473+00:00,2.1.259 (Claude Code),4b8228e8d390f4c8a30bb0aa4edd889d6ebf08beeba2b17c9099643b392646e2,b5cb05579ed88e120ed442e8d2115841cc53a39a22eb31b2b67c3aadebe08577
fable,low,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-08828d94,95.20200000000001,100.0,90.68,100.0,83.0,88.67,77.33,False,652.249,927287,3.044991,,2026-09-03T06:27:19.661103+00:00,2026-09-03T06:38:11.914174+00:00,2.1.259 (Claude Code),a169f6e26c5b815906e4ef6eaa9d02765b1a3dd33f3e9c2ff56e90822e101ee9,2e7e1958430a1fb0c869bbadacdf57b16e565cc34864e09d6e4567201388643c
fable,low,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-cfd3f7c5,94.7255,100.0,81.95,100.0,87.165,91.33,83.0,False,650.248,835590,2.9037824999999997,,2026-09-03T06:16:29.287030+00:00,2026-09-03T06:27:19.539651+00:00,2.1.259 (Claude Code),f5bbc42764cc5c06fc7e0ed45cae23f7bba693ef16b25478d8247a07bcf98555,829c017d2aa31534226b343fd84277947e42d52703a708e135db409d6a3f720e
