model,effort,task,run_id,combined_33,combined_20_profile,functional_pct,automated_quality_pct,security_pct,code_quality,reviewed_score,intent_recovery,intent_recovery_redistributed,muse_reviewed,muse_readability,muse_maintainability,muse_intent_recovery,grok_reviewed,grok_readability,grok_maintainability,grok_intent_recovery,passed_quirk_families,duration_s,raw_tokens,estimated_usd,started_at,finished_at,solver_cli_version,evidence_sha256
terra,low,legacy-pacecore-binary-parity,legacy-pacecore-binary-parity-d227e111,39.8424,42.2130,0.00,83.44,100.00,73.4848,72.9167,75.0000,False,68.7500,75.0000,62.5000,75.0000,77.0833,79.1667,75.0000,75.0000,4,622.202,1705923,0.755639,2026-09-14T12:26:11.640882+00:00,2026-09-14T12:36:33.846702+00:00,codex-cli 0.153.4,f6b1a72ff72fa66bbd1c26720023109d133c3852e15c142c821b5a63c10ab9c0
terra,low,legacy-paddockcore-binary-parity,legacy-paddockcore-binary-parity-c2c31530,35.0513,37.8133,0.00,68.25,100.00,62.8788,58.3333,75.0000,False,56.2500,50.0000,62.5000,100.0000,60.4167,54.1667,66.6667,50.0000,1,305.898,643026,0.406678,2026-09-14T13:18:55.693414+00:00,2026-09-14T13:24:01.594310+00:00,codex-cli 0.153.4,cbb7669beff8b9a2eedc38ffbc06a15d44cdd7c913487c1e0e154fed4adafc7e
terra,low,legacy-payrollcore-binary-parity,legacy-payrollcore-binary-parity-04b0fe87,38.3297,41.1366,0.00,81.82,100.00,69.3182,71.8750,62.5000,False,70.8333,62.5000,79.1667,58.3333,72.9167,70.8333,75.0000,66.6667,6,567.542,2353790,0.970510,2026-09-14T11:07:59.056624+00:00,2026-09-14T11:17:26.604519+00:00,codex-cli 0.153.4,3304e9cc3b7c23f8db68a6f1890f8fb6b1002a7a0642ac81f1a26ce6297597e1
terra,low,legacy-qlite-store-parity,legacy-qlite-store-parity-a3a6cc24,41.0678,42.6376,0.00,80.21,100.00,78.0303,69.7917,100.0000,False,68.7500,58.3333,79.1667,100.0000,70.8333,62.5000,79.1667,100.0000,7,245.302,680158,0.375069,2026-09-14T11:03:53.624205+00:00,2026-09-14T11:07:58.929775+00:00,codex-cli 0.153.4,8b6ab5dd276c5f0d4b8d943df8f4582a53c86999797dcfeddf48eb1cc3e4a513
terra,low,legacy-queuecore-binary-parity,legacy-queuecore-binary-parity-23ac9dee,59.0278,61.1520,37.50,82.68,100.00,75.0000,71.8750,83.3333,False,70.8333,62.5000,79.1667,83.3333,72.9167,66.6667,79.1667,83.3333,3,387.792,973063,0.529534,2026-09-14T11:57:03.328122+00:00,2026-09-14T12:03:31.125073+00:00,codex-cli 0.153.4,fc912e3a6338c3c9a9a08a431764c8d2c8af2254a0c97ecb652e06905c8400cf
terra,low,legacy-quotacore-binary-parity,legacy-quotacore-binary-parity-18276bc3,78.1177,81.1608,80.00,83.37,100.00,68.2765,64.5833,78.1250,False,58.3333,58.3333,58.3333,75.0000,70.8333,66.6667,75.0000,81.2500,8,454.295,1216481,0.563131,2026-09-14T11:36:40.525051+00:00,2026-09-14T11:44:14.825216+00:00,codex-cli 0.153.4,5764376d5c4d8ce0a35bce4c1e0858a4f1ea270a4c5002fac95318e475f07aaa
terra,low,legacy-reflowcore-binary-parity,legacy-reflowcore-binary-parity-dadd15f6,62.1574,65.7334,50.00,84.94,100.00,64.9621,63.5417,68.7500,False,60.4167,58.3333,62.5000,62.5000,66.6667,66.6667,66.6667,75.0000,4,332.776,891223,0.464466,2026-09-14T12:14:16.273349+00:00,2026-09-14T12:19:49.052061+00:00,codex-cli 0.153.4,3f2a38036f637a118ed1676543a37e4f1587b4ded41a226b96bce18ef9ceda42
terra,low,legacy-schedcore-binary-parity,legacy-schedcore-binary-parity-41ef2630,49.6734,52.4651,25.00,77.04,100.00,67.0455,59.3750,87.5000,False,52.0833,45.8333,58.3333,100.0000,66.6667,62.5000,70.8333,75.0000,2,275.017,549226,0.316091,2026-09-14T12:09:41.105664+00:00,2026-09-14T12:14:16.127489+00:00,codex-cli 0.153.4,d55474a380ef90080e821ff9006561909a18f690362bfba60af286e8a798aec8
terra,low,legacy-settlecore-binary-parity,legacy-settlecore-binary-parity-4e440a12,63.2873,63.9472,40.00,79.85,100.00,84.8485,79.1667,100.0000,False,79.1667,75.0000,83.3333,100.0000,79.1667,75.0000,83.3333,100.0000,4,480.484,1321287,0.659708,2026-09-14T10:50:29.533599+00:00,2026-09-14T10:58:30.023741+00:00,codex-cli 0.153.4,dfc29b750b6434b30722691ed12a70bf4298b683e541a71bf1ca529e578234c1
terra,low,legacy-snapcore-binary-parity,legacy-snapcore-binary-parity-89b1cc62,65.3408,67.5712,50.00,84.01,100.00,74.8485,72.9167,80.0000,False,70.8333,70.8333,70.8333,80.0000,75.0000,75.0000,75.0000,80.0000,5,456.117,1091260,0.560402,2026-09-14T11:44:14.966503+00:00,2026-09-14T11:51:51.089659+00:00,codex-cli 0.153.4,aac60cccd7b0437edde4ab07f30290fce3f8afa65b42f436edcbe95348370081
terra,low,legacy-stampcore-binary-parity,legacy-stampcore-binary-parity-5c300022,72.1502,74.8939,66.67,83.12,100.00,70.4545,68.7500,75.0000,False,66.6667,62.5000,70.8333,75.0000,70.8333,70.8333,70.8333,75.0000,6,287.17,1108801,0.538239,2026-09-14T12:45:21.810383+00:00,2026-09-14T12:50:08.984265+00:00,codex-cli 0.153.4,7ffe226cfb110d53b8389e4b0b267a3d308e45ce622a5d52a2996182c9afa7b9
terra,low,legacy-tallycore-binary-parity,legacy-tallycore-binary-parity-c26607a4,67.6735,71.3112,62.50,82.63,100.00,63.3333,64.5833,60.0000,False,66.6667,62.5000,70.8333,60.0000,62.5000,62.5000,62.5000,60.0000,5,382.299,968011,0.534592,2026-09-14T12:19:49.192151+00:00,2026-09-14T12:26:11.496549+00:00,codex-cli 0.153.4,c2d03658362a166c42e11a9a3cbcbb93ef85f91d4f3067deb3e7a9c2812254dd
terra,low,legacy-vaultcore-binary-parity,legacy-vaultcore-binary-parity-fbd514c8,90.3857,92.6339,100.00,84.37,100.00,74.8918,70.8333,85.7143,False,68.7500,62.5000,75.0000,78.5714,72.9167,75.0000,70.8333,92.8571,9,311.965,909737,0.438472,2026-09-14T11:51:51.222694+00:00,2026-09-14T11:57:03.192008+00:00,codex-cli 0.153.4,30bbb9ba3d510bf63c94c9bbafa0227fc084eb7b0f4106c8ae54d86ad9fc5d0f
terra,medium,legacy-blendcore-binary-parity,legacy-blendcore-binary-parity-5a00f9fe,87.4121,90.6761,100.00,82.79,100.00,66.2879,67.7083,62.5000,False,66.6667,58.3333,75.0000,62.5000,68.7500,66.6667,70.8333,62.5000,9,286.109,963570,0.505255,2026-09-14T15:34:26.557882+00:00,2026-09-14T15:39:12.670930+00:00,codex-cli 0.153.4,ce7128e2847ce13ae6eba5e94d680af7afc8cb75d4bb4a5615691b34d98aeec6
